SampleDate,SampleTime,Turbidity,Latitude,Longitude
7/6/2015,11:36:00,13.8,38.6082,-77.1739
7/6/2015,11:36:00,12.4,38.6082,-77.1739
7/6/2015,12:57:00,12.4,38.69787,-77.02317
7/15/2015,10:15:00,1.2,38.81123,-77.23026
7/28/2015,10:01:00,3.56,38.6,-77.25692
7/28/2015,10:26:00,7.8,38.64028,-77.22222
8/12/2015,11:00:00,1.7,38.81123,-77.23026
8/12/2015,12:56:00,22.7,38.93893,-76.94344
8/17/2015,8:49:00,14.9,38.69842,-76.98673
8/17/2015,12:05:00,14.5,38.70664,-77.04876
8/17/2015,12:05:00,8.3,38.70664,-77.04876
8/17/2015,12:05:00,7.3,38.70664,-77.04876
8/17/2015,11:49:00,15.4,38.69067,-77.11111
8/17/2015,11:49:00,13.3,38.69067,-77.11111
8/17/2015,11:49:00,6.9,38.69067,-77.11111
8/17/2015,11:24:00,18.5,38.6082,-77.1739
8/17/2015,11:24:00,11.9,38.6082,-77.1739
8/17/2015,11:24:00,7.9,38.6082,-77.1739
8/17/2015,12:20:00,10,38.69787,-77.02317
8/24/2015,11:44:00,7.29,38.69778,-77.12111
8/24/2015,9:45:00,7.54,38.6,-77.25692
8/24/2015,10:20:00,5.29,38.64028,-77.22222
8/24/2015,11:20:00,0.9,38.68028,-77.16917
9/9/2015,11:30:00,0.8,38.81123,-77.23026
9/9/2015,12:48:00,12.3,38.93893,-76.94344
9/21/2015,8:45:00,6.6,38.69842,-76.98673
9/21/2015,11:59:00,17.3,38.70664,-77.04876
9/21/2015,11:59:00,11.9,38.70664,-77.04876
9/21/2015,11:59:00,10.7,38.70664,-77.04876
9/21/2015,11:43:00,28.5,38.69067,-77.11111
9/21/2015,11:43:00,18.2,38.69067,-77.11111
9/21/2015,11:43:00,14.4,38.69067,-77.11111
9/21/2015,11:17:00,68,38.6082,-77.1739
9/21/2015,11:17:00,14.7,38.6082,-77.1739
9/21/2015,11:17:00,13.5,38.6082,-77.1739
9/21/2015,12:15:00,11.3,38.69787,-77.02317
9/28/2015,12:25:00,12.5,38.6,-77.25692
9/28/2015,12:25:00,12.8,38.6,-77.25692
9/28/2015,12:51:00,2.85,38.64028,-77.22222
10/7/2015,13:59:00,7,38.93893,-76.94344
10/13/2015,10:04:00,7.2,38.69842,-76.98673
10/13/2015,11:34:00,24.5,38.70664,-77.04876
10/13/2015,11:34:00,23.2,38.70664,-77.04876
10/13/2015,11:34:00,23,38.70664,-77.04876
10/13/2015,11:19:00,20.4,38.69067,-77.11111
10/13/2015,11:19:00,20.7,38.69067,-77.11111
10/13/2015,11:19:00,20.4,38.69067,-77.11111
10/13/2015,10:56:00,16.8,38.6082,-77.1739
10/13/2015,10:56:00,15.4,38.6082,-77.1739
10/13/2015,10:56:00,13.8,38.6082,-77.1739
10/13/2015,11:44:00,11,38.69787,-77.02317
10/14/2015,10:45:00,0.4,38.81123,-77.23026
10/19/2015,9:30:00,13.2,38.69778,-77.12111
10/19/2015,11:10:00,11.7,38.6,-77.25692
10/19/2015,10:40:00,4.05,38.64028,-77.22222
